annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
2021-2022,12,07,Outaouais,CISSS DE L'OUTAOUAIS,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MANSFIELD-ET-PONTEFRACT,51245058,7784,825,264,3.9662426487,7447,1.314510765,7534,782,251,3.8243839041,7197,1.3082779862,250,7,0,8.2412977778,250,1.49394,43,13
2021-2022,12,07,Outaouais,CISSS DE L'OUTAOUAIS,CLSC ET CENTRE D'HÉBERGEMENT DE LA PETITE-NATION,51219491,8459,946,372,2.931807805,7342,1.3602493644,7723,729,342,2.7533189463,6607,1.4257004776,736,3,0,4.8047282609,735,0.7719017385,217,30
2021-2022,12,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL DE GATINEAU,51221703,27369,3227,3917,10.159012508,18396,2.4302151434,17640,1235,1037,3.5368968569,8790,2.5907183352,9729,2910,1339,22.165808693,9606,2.2833462014,1992,2880
2021-2022,12,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL DE HULL,51221711,30902,5463,1410,11.396250288,22629,2.6291068246,19072,1583,857,4.8303294096,10956,2.9689784897,11830,3373,1500,21.98164699,11673,2.3101113681,3880,553
2021-2022,12,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL DE MANIWAKI,51221893,10863,1457,652,7.3308649135,9687,2.2096234644,7454,690,369,3.561518834,6388,2.2700536596,3409,586,319,15.57278503,3299,2.0926097976,767,283
2021-2022,12,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL ET CHSLD DE PAPINEAU,51228823,18410,2240,928,8.0256705444,13220,2.9295061985,13238,867,341,3.3538482021,8119,3.0330214449,5172,1476,428,19.983440105,5101,2.7647462916,1373,587
2021-2022,12,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL ET CHSLD DU PONTIAC,51219459,8163,1021,232,4.8237589326,7443,1.9544396301,7223,792,185,4.2360433107,6505,2.0122290973,940,58,1,9.3397907801,938,1.5536715233,229,47
2021-2022,12,07,Outaouais,CISSS DE L'OUTAOUAIS,HÔPITAL ET CHSLD MÉMORIAL DE WAKEFIELD / WAKEFIELD MEMORIAL HOSPITAL,51228799,11673,955,338,5.1045537661,9987,2.2693674555,10153,641,255,3.8517493188,8505,2.3218792867,1520,252,36,13.472792946,1482,1.9680090718,314,83
2021-2022,12,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA SARRE,51247559,15750,1814,857,5.0331393298,14052,1.9285112044,13490,1134,732,4.1173307594,11812,2.0270568772,2260,176,52,10.499625,2240,1.408858755,680,125
2021-2022,12,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TÉMISCAMING-KIPAWA,51247476,4334,433,256,2.4380522227,4144,0.6842854462,4282,410,248,2.3107858477,4092,0.6859489383,52,1,0,12.917948718,52,0.5533814103,23,8
2021-2022,12,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE VILLE-MARIE,51247542,10489,1342,590,5.165513448,9043,2.923387396,9348,966,485,4.4928053832,7915,2.9925241805,1141,58,1,10.676885042,1128,2.4382653664,376,105
2021-2022,12,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,HÔPITAL D'AMOS,51228906,18310,1840,770,4.4439544572,15800,1.2408291139,13746,747,592,2.3961426354,11263,1.4111188059,4564,492,73,10.611619072,4537,0.8180888007,1093,178
2021-2022,12,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,HÔPITAL DE ROUYN-NORANDA,51228922,23606,2704,1499,6.0886764194,17620,3.266067127,18849,1252,950,4.9868515276,12913,3.7367319325,4757,358,19,10.454515684,4707,1.9748636782,1452,549
2021-2022,12,08,Abitibi-Témiscamingue,CISSS DE L'ABITIBI-TÉMISCAMINGUE,HÔPITAL DE VAL-D'OR,51225589,24039,2469,1795,7.8212920439,18382,4.0908409041,19243,1261,1296,5.6124224249,13599,4.8163847832,4796,1171,233,16.683943854,4783,2.0279784306,1208,499
2021-2022,12,09,Côte-Nord,CISSS DE LA CÔTE-NORD,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FERMONT,51245108,5174,15,256,8.4092217498,4375,1.4278534603,4973,14,244,8.487448388,4174,1.4430432439,201,7,3,6.4737935323,201,1.1124198452,1,12
2021-2022,12,09,Côte-Nord,CISSS DE LA CÔTE-NORD,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORESTVILLE,51218741,9568,1344,427,3.3861555881,7785,1.842813566,8287,946,334,2.8604302589,6654,1.9530965919,1281,39,5,6.7871593373,1131,1.1939866392,398,93
2021-2022,12,09,Côte-Nord,CISSS DE LA CÔTE-NORD,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD,51245140,3258,395,163,3.3575180752,3148,1.2225390018,2670,276,146,3.1900631502,2569,1.2653518446,588,0,0,4.1179001323,579,1.032580119,119,17
2021-2022,12,09,Côte-Nord,CISSS DE LA CÔTE-NORD,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MINGANIE,51245116,12267,937,370,2.6000880411,6362,2.0337415732,9051,621,177,1.6581188082,3295,2.1757882313,3216,52,2,5.2511339138,3067,1.8811352027,316,193
2021-2022,12,09,Côte-Nord,CISSS DE LA CÔTE-NORD,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE PORT-CARTIER,51245132,11552,824,620,3.9879515813,10394,1.7997409296,10496,564,519,2.9025093157,9347,1.8928009284,1056,167,41,14.776589857,1047,0.9689560119,260,101
2021-2022,12,09,Côte-Nord,CISSS DE LA CÔTE-NORD,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DES ESCOUMINS,51218733,7756,1084,265,3.3780938771,6926,1.2463089165,6843,748,227,2.6978166659,6018,1.2894776319,913,47,11,8.4768200073,908,0.9601973201,336,38
2021-2022,12,09,Côte-Nord,CISSS DE LA CÔTE-NORD,CLSC ET HÔPITAL LE ROYER,51228765,18671,2779,1482,10.977248198,16489,3.4666623203,13590,1118,937,5.5410951067,11418,3.9778183083,5081,1641,873,25.517165639,5071,2.3157297487,1661,545
2021-2022,12,09,Côte-Nord,CISSS DE LA CÔTE-NORD,HÔPITAL ET CLSC DE SEPT-ÎLES,51232023,18482,2215,1390,10.774633998,14781,3.0977133745,11971,802,543,4.2744240015,8431,3.2964562,6511,1667,846,22.725795705,6350,2.8338392388,1413,847
2021-2022,12,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE GRANDE-VALLÉE,51247732,5136,835,100,1.6439852133,3803,0.7591684927,4645,657,81,1.2824737472,3406,0.7773448816,491,13,2,5.0639867617,397,0.6032269801,178,19
2021-2022,12,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,CLSC ET CENTRE DE SERVICES AMBULATOIRES DE MURDOCHVILLE,51221307,1474,209,85,3.1898692145,1410,1.5511451931,1455,203,84,3.1250460099,1391,1.556284847,19,0,0,8.1539619883,19,1.1748684211,6,1
2021-2022,12,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,CLSC ET CENTRE DE SERVICES AMBULATOIRES DE PASPÉBIAC,51220978,10635,1870,427,3.8374039597,9766,1.7411024643,8002,1166,339,2.9673485795,7265,1.8330164028,2633,85,11,6.4816056885,2501,1.4741073571,704,88
2021-2022,12,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,HÔPITAL DE CHANDLER,51227775,12657,2121,535,5.2890185931,11306,1.7868488462,10457,1304,423,3.5519223434,9116,1.9330936753,2200,303,28,13.545752904,2190,1.1780963978,817,112
2021-2022,12,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,HÔPITAL DE GASPÉ,51220903,12618,1953,574,4.9828997376,11173,1.5320556749,9991,1047,405,3.4586412771,8562,1.749494569,2627,210,1,10.779955801,2611,0.8190293204,906,169
2021-2022,12,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,HÔPITAL ET CLSC DE SAINTE-ANNE-DES-MONTS,51247799,12098,1832,532,4.4003957725,10797,1.5428706791,9728,993,392,2.4632452428,8444,1.5920370151,2370,299,99,12.351703938,2353,1.36643186,839,140
2021-2022,12,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,HÔPITAL ET GROUPE DE MÉDECINE DE FAMILLE UNIVERSITAIRE DE MARIA,51227908,14366,2497,701,8.6940777414,13049,2.1974284534,10367,1135,332,4.1823561943,9065,2.4675500092,3999,1268,448,20.390256106,3984,1.5828069919,1362,369
2021-2022,12,11,Gaspésie-Îles-de-la-Madeleine,CISSS DES ÎLES,HÔPITAL DE L'ARCHIPEL,51227783,14653,1785,423,3.4653277107,12901,1.1527212576,12284,1203,245,2.3613606679,10545,1.2251217533,2369,125,2,9.1897393415,2356,0.8286706518,582,178
2021-2022,12,12,Chaudière-Appalaches,CISSS DE CHAUDIÈRE-APPALACHES,CHSLD ET HÔPITAL PAUL-GILBERT,51245199,16277,1048,259,2.1794751626,14168,1.2324970199,15105,928,233,2.0858588951,12998,1.2877770512,1172,0,0,3.3860227057,1170,0.6183689459,120,26
2021-2022,12,12,Chaudière-Appalaches,CISSS DE CHAUDIÈRE-APPALACHES,HÔPITAL DE MONTMAGNY,51245223,28391,4142,966,4.2508848461,26150,1.3382847249,21473,1874,457,2.4094658538,19238,1.5607599398,6918,347,2,9.9665237625,6912,0.719074918,2268,509
2021-2022,12,12,Chaudière-Appalaches,CISSS DE CHAUDIÈRE-APPALACHES,HÔPITAL DE SAINT-GEORGES,51228971,35998,6120,1919,6.6414443935,30137,1.9922096961,24463,2065,835,3.5541487257,18636,2.4483249267,11535,1571,93,13.188866493,11501,1.2531293173,4055,1084
2021-2022,12,12,Chaudière-Appalaches,CISSS DE CHAUDIÈRE-APPALACHES,HÔPITAL DE THETFORD,51245231,32263,5010,1025,5.8491339495,28714,1.3466828899,24647,2338,528,3.7512528457,21099,1.5306802587,7616,985,32,12.638324543,7615,0.8368784927,2672,497
2021-2022,12,12,Chaudière-Appalaches,CISSS DE CHAUDIÈRE-APPALACHES,HÔTEL-DIEU DE LÉVIS,51227569,70166,12152,4439,6.9450652302,60633,0.9911936752,48338,4181,2158,2.6683839204,38807,1.2431188818,21828,5257,770,16.415755223,21826,0.5432663643,7971,2281
2021-2022,12,13,Laval,CISSS DE LAVAL,HÔPITAL DE LA CITÉ-DE-LA-SANTÉ,51228757,79852,13075,5164,8.4738107756,62626,2.6918319778,52244,3775,1554,4.7978723979,35095,3.4138615583,27608,4924,380,15.429972925,27531,1.7714285008,9300,3610
2021-2022,12,14,Lanaudière,CISSS DE LANAUDIÈRE,HÔPITAL DE LANAUDIÈRE ET CENTRE D'HÉBERGEMENT PARPHILIA-FERLAND,51244945,58878,9674,4211,9.3198961176,49625,2.2137683627,36954,2569,2957,5.1149509601,27835,2.8495462048,21924,5480,897,16.407541773,21790,1.4016125006,7105,1254
2021-2022,12,14,Lanaudière,CISSS DE LANAUDIÈRE,HÔPITAL PIERRE-LE GARDEUR,51228062,66854,10736,3836,10.520362764,45754,4.2972241346,44916,3503,1343,6.1770626342,23902,5.5788205892,21938,7235,819,19.412862929,21852,2.8953973702,7233,2493
2021-2022,12,15,Laurentides,CISSS DES LAURENTIDES,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX D'ARGENTEUIL,51245306,17822,2111,731,8.1254972942,15161,2.9655299966,14585,1122,484,4.9281328991,11935,3.2884576177,3237,1068,354,22.531910548,3226,1.7708179204,989,247
2021-2022,12,15,Laurentides,CISSS DES LAURENTIDES,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE RIVIÈRE-ROUGE,51217628,12335,1404,717,6.1595349277,11020,2.2643522131,9482,718,355,3.2398916954,8211,2.3914955209,2853,586,174,15.863024983,2809,1.8926990625,686,362
2021-2022,12,15,Laurentides,CISSS DES LAURENTIDES,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-AGATHE,51246874,26290,4148,1713,12.199728308,20899,3.7627943522,17161,1517,519,6.6364421427,11853,4.7594323753,9129,3090,1000,22.657779999,9046,2.456896664,2631,1194
2021-2022,12,15,Laurentides,CISSS DES LAURENTIDES,HÔPITAL DE MONT-LAURIER,51217610,15078,2039,886,8.7383954732,12369,3.1966691819,11490,987,522,5.8605761048,8837,3.4973990985,3588,908,233,17.954154822,3532,2.4442483799,1052,364
2021-2022,12,15,Laurentides,CISSS DES LAURENTIDES,HÔPITAL DE SAINT-EUSTACHE,51228864,42491,7801,2498,12.054814189,30861,3.1118123288,24819,1972,822,5.8849379508,13263,4.7187722528,17672,5914,1626,20.719943115,17598,1.9007025735,5829,1676
2021-2022,12,15,Laurentides,CISSS DES LAURENTIDES,HÔPITAL DE SAINT-JÉRÔME,51228880,48513,8088,4744,16.119252984,35134,4.3844348779,28462,2380,1438,7.2960646066,15196,6.0486212929,20051,8545,3929,28.64359529,19938,3.1160540593,5708,3306
2021-2022,12,16,Montérégie,CISSS DE LA MONTÉRÉGIE-CENTRE,HÔPITAL CHARLES-LE MOYNE,51233799,67405,11149,5700,9.7637660905,39227,4.473820427,46753,4049,2472,5.4230790953,18587,5.4802097195,20652,6576,785,19.590423997,20640,3.5675337129,7100,3228
2021-2022,12,16,Montérégie,CISSS DE LA MONTÉRÉGIE-CENTRE,HÔPITAL DU HAUT-RICHELIEU,51229045,54570,8030,3493,9.3730638018,41793,2.5879077637,38834,2866,1399,4.7597090966,26125,3.1825316853,15736,4757,1917,20.758105529,15668,1.5964251269,5164,2094
2021-2022,12,16,Montérégie,CISSS DE LA MONTÉRÉGIE-EST,HÔPITAL HONORÉ-MERCIER,51229193,42860,7589,2619,9.318521381,32000,3.1540368056,31615,3091,1350,4.6835355932,20777,3.8020891825,11245,3767,1325,22.349653056,11223,1.9543055184,4498,1269
2021-2022,12,16,Montérégie,CISSS DE LA MONTÉRÉGIE-EST,HÔPITAL PIERRE-BOUCHER,51229011,50122,9157,2986,12.612132619,37342,3.6269796744,24414,2310,861,4.9330629966,11882,4.7622358282,25708,7316,3113,19.904679909,25460,3.0971637427,6847,2125
2021-2022,12,16,Montérégie,CISSS DE LA MONTÉRÉGIE-EST,HÔTEL-DIEU DE SOREL,51229102,28880,4699,1536,8.9897322734,24148,2.4607483021,18829,1799,487,4.8934282814,14183,3.0695150493,10051,2438,588,16.663526708,9965,1.5943018621,2900,1049
2021-2022,12,16,Montérégie,CISSS DE LA MONTÉRÉGIE-OUEST,HÔPITAL ANNA-LABERGE,51229151,35450,6325,2018,14.537831226,27781,2.2415304825,22132,1634,566,7.1767275137,14463,3.1556028026,13318,5652,2146,26.770594955,13318,1.2488718276,4691,1452
2021-2022,12,16,Montérégie,CISSS DE LA MONTÉRÉGIE-OUEST,HÔPITAL BARRIE MEMORIAL / BARRIE MEMORIAL HOSPITAL,51228005,16680,1715,314,6.3210793865,13686,3.6010783526,13944,938,244,4.3571709457,10966,3.0656207571,2736,679,63,16.330121528,2720,5.7598386438,777,70
2021-2022,12,16,Montérégie,CISSS DE LA MONTÉRÉGIE-OUEST,HÔPITAL DU SUROÎT,51229136,31771,6505,2591,15.205705282,26206,2.1115194464,19801,1739,1694,4.5598508633,14317,2.8567983865,11970,4344,2617,32.81627866,11889,1.2140378595,4766,897
2022-2023,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,19789,3457,954,5.2570682366,16487,2.2700468214,14463,1390,569,3.3845713391,11212,2.5216675586,5326,202,6,10.341920401,5275,1.7352275408,2067,385
2022-2023,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,10240,1364,289,3.2806150174,9226,1.3920279042,8881,897,228,2.4810088016,7891,1.4789488728,1359,66,1,8.506003393,1335,0.878250104,467,61
2022-2023,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,9546,1072,208,1.7002759445,8755,0.8179926074,8981,893,186,1.3891644397,8201,0.8252663971,565,12,0,6.6455722714,554,0.7103168873,179,22
2022-2023,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,14961,2208,413,4.045762761,13201,1.7238861744,8247,728,236,3.1680287108,6746,1.9515026188,6714,50,2,5.1239088306,6455,1.4860084775,1480,177
2022-2023,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,17398,2783,675,4.829174027,15437,2.6847283403,13035,1318,359,4.215335784,11180,3.0352921884,4363,93,3,6.6630913999,4257,1.7640556078,1465,316
2022-2023,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,12670,2024,327,3.8733673156,11377,1.4645196205,10170,1065,159,2.4046328799,8887,1.6198783804,2500,150,8,9.848179,2490,0.9100323516,959,168
2022-2023,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,15622,2394,409,3.4426948285,14518,1.4131963386,12651,1216,225,2.5403586453,11569,1.5281198317,2971,13,1,7.2849886869,2949,0.9623486304,1178,184
2022-2023,12,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,30073,5141,1498,5.8253010822,23242,2.5995203009,21516,1978,916,4.209897828,14747,3.0617136254,8557,473,26,9.8871237324,8495,1.7971701001,3163,582
2022-2023,12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL D'ALMA,51219400,32201,4458,1152,5.2202638203,25287,2.9197216949,24721,2165,506,3.8599784147,17943,3.1294770167,7480,337,17,9.7159343434,7344,2.407243517,2293,646
2022-2023,12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE CHICOUTIMI,51218394,50454,7595,3145,7.6983725275,43290,2.5075231,29549,2151,1000,3.883650791,22574,3.3139667809,20905,3185,509,13.090442013,20716,1.6287501877,5444,2145
2022-2023,12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,19675,3000,651,4.4495708175,17647,1.8627446434,16544,1875,347,3.0135162127,14545,2.0006993812,3131,405,96,12.037589783,3102,1.2158872412,1125,304
2022-2023,12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE LA BAIE,51221364,18448,2103,526,5.1608588405,16793,2.6245979145,14780,948,319,3.9257341753,13166,2.8737052087,3668,193,27,10.137724312,3627,1.7203391232,1155,207
2022-2023,12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,22546,2902,1418,5.3715340243,20265,2.1413265345,15830,1176,473,3.2375163192,13639,2.336853488,6716,619,105,10.401537043,6626,1.738852626,1726,945
2022-2023,12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,23916,4061,1163,8.1877789973,18842,4.0608113081,14761,1295,394,5.0291800653,9995,4.4359481963,9155,1165,104,13.280523818,8847,3.6369960941,2766,769
2022-2023,12,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL,51217594,69805,5052,6550,8.1954897373,57222,1.9312471602,39632,1004,2180,4.7001741368,27137,2.8586864285,30173,3588,1176,12.786559498,30085,1.0946867671,4048,4370
2022-2023,12,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DE L'ENFANT-JÉSUS,51233914,54180,8759,6480,10.865497185,48766,1.6772262209,30499,2707,1690,4.0914772707,25179,2.0875645379,23681,6482,1868,19.589826115,23587,1.2391921986,6052,4790
2022-2023,12,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DU SAINT-SACREMENT,51217529,31333,6994,853,8.2082225166,25425,2.0235265487,22327,2760,305,3.6729346133,16453,2.3830447166,9006,2546,790,19.451768266,8972,1.3642362659,4234,548
2022-2023,12,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL SAINT-FRANÇOIS D'ASSISE,51217602,37645,8702,1212,10.793720023,30718,2.0517601877,22893,2490,580,4.269223671,16007,2.733187477,14752,4935,1302,20.918807808,14711,1.3103009653,6212,632
2022-2023,12,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,L'HÔTEL-DIEU DE QUÉBEC,51217586,18050,4607,947,8.4990741767,16309,1.5855714466,8952,1139,341,3.4021689753,7288,1.8048855043,9098,1408,61,13.514186879,9021,1.4083892214,3468,606
2022-2023,12,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU,51225001,39771,2517,497,3.314590887,26746,2.0983490989,35890,2093,394,3.1442897356,22939,2.2330310703,3881,0,0,4.8894706404,3807,1.2868256574,424,103
2022-2023,12,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE BAIE-SAINT-PAUL,51244804,12600,2143,353,4.6668173501,9695,2.0448475159,10073,1273,157,2.9741192076,7185,2.315543648,2527,259,38,11.414165348,2510,1.2699663568,870,196
2022-2023,12,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-MARC-DES-CARRIÈRES,51247344,15740,2067,347,3.2585415255,12819,1.682689064,12515,1019,219,2.4990096107,9670,1.9579256578,3225,56,11,6.2059963824,3149,0.8374880915,1048,128
2022-2023,12,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-RAYMOND,51247302,19209,2373,330,4.2507638491,15242,2.1928341644,15496,1245,195,3.2450595136,11566,2.5245199051,3713,146,16,8.4480152318,3676,1.1492331641,1128,135
2022-2023,12,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-ANNE-DE-BEAUPRÉ,51225357,17069,1830,262,3.9902098671,12489,2.1519772511,14833,1124,189,3.2302975348,10317,2.3422482042,2236,119,17,9.0312562115,2172,1.2481902241,706,73
2022-2023,12,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,HÔPITAL ET CLSC DE LA MALBAIE,51228690,13457,2164,426,5.8219910745,11037,1.9351219887,10659,1234,249,3.4820259614,8259,2.2464191253,2798,483,112,14.736104062,2778,1.0096349292,930,177
2022-2023,12,03,Capitale-Nationale,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC - UNIVERSITÉ LAVAL,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC,51232130,25595,8145,582,8.2862299494,24204,1.9464296535,13073,2650,314,4.0029862227,11716,2.4599085771,12522,1460,1,12.757947346,12488,1.4646936615,5495,268
2022-2023,12,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX AVELLIN-DALCOURT,51233583,20151,2693,439,5.6630882669,15742,3.7084400895,17083,1460,301,4.8189107755,12689,4.1550902575,3068,158,26,10.363571998,3053,1.8520549005,1233,138
2022-2023,12,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHRIST-ROI,51246338,21384,2124,547,5.9123756859,16017,4.1747702961,18239,1060,372,4.8727162795,12916,4.4642398747,3145,311,60,11.941739092,3101,2.96909823,1064,175
2022-2023,12,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORTIERVILLE,51219160,13516,1091,250,2.257559148,10356,1.8580710055,12541,937,209,2.1533312956,9391,1.9332917746,975,0,0,3.5981965812,965,1.1260521013,154,41
2022-2023,12,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DU HAUT-SAINT-MAURICE,51219731,11328,1647,578,6.0256937088,9604,2.9493376602,8494,867,291,4.0844246265,6838,3.1984738065,2834,296,25,11.844021015,2766,2.3334327549,780,287
2022-2023,12,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔPITAL DU CENTRE-DE-LA-MAURICIE,51220051,31271,5872,2072,8.1163234751,24784,2.7758201976,19329,1563,444,4.6506389363,12923,3.8410730867,11942,1862,246,13.725787254,11861,1.615187613,4309,1628
2022-2023,12,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔPITAL SAINTE-CROIX,51228781,38226,5163,2208,8.7971431966,28271,3.6466195729,23173,1446,619,6.1677441898,13656,4.8600639524,15053,2247,114,12.844911959,14615,2.5127983997,3717,1589
2022-2023,12,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔTEL-DIEU D'ARTHABASKA,51228039,33954,5654,1956,6.3690294222,27691,2.1062751536,20369,1715,416,3.631559464,14311,2.6758211438,13585,1319,62,10.473521552,13380,1.497099319,3939,1540
